Id,Tags,Score,ClosedDate
"69969780","<dataframe><julia>","5",""
"69969782","<jquery><ajax><asp.net-core-mvc><asp.net-core-webapi>","1",""
"69969783","<javascript><timer><jspsych>","0",""
"69969784","","1",""
"69969785","<python><python-3.x><dictionary><anagram>","0",""
"69969786","<c#><visual-studio-2019>","0",""
"69969787","","0",""
"69969788","<node.js><server>","0",""
"69969789","<microsoft-graph-api>","0",""
"69969791","","1",""
"69969792","<python><tkinter>","0",""
"69969793","<kubernetes><kubectl>","0",""
"69969794","<macos><shell><command-line><bioinformatics>","0",""
"69969795","<javascript><jquery><spring>","0",""
"69969796","<java>","2",""
"69969797","<javascript><html><css>","1",""
"69969798","","1",""
"69969799","<javascript><opentok><tokbox>","1",""
"69969800","","0",""
"69969801","<json><apache-kafka><ksqldb>","0",""
"69969802","<google-cloud-platform><cloud><google-cloud-networking>","0",""
"69969804","<java><selenium>","0",""
"69969805","","0",""
"69969806","<apache-kafka>","0",""
"69969807","<python><visual-studio-code>","3",""
"69969808","","2",""
"69969809","<postman><lumen>","0",""
"69969810","","0",""
"69969811","","0",""
"69969812","","1",""
"69969814","","0",""
"69969815","","0",""
"69969816","","0",""
"69969817","","1",""
"69969818","","2",""
"69969819","","0",""
"69969820","<python><django><forms><foreign-keys>","0",""
"69969821","<javascript><node.js><graph><tree>","0",""
"69969822","","1",""
"69969823","","0",""
"69969825","","0",""
"69969826","","1",""
"69969827","<c++><header><overloading><variable-assignment>","0",""
"69969828","","0",""
"69969830","<smtp><gmail><flask-mail>","0",""
"69969831","<rust><rust-cargo>","0",""
"69969832","<java><spring><spring-boot><weblogic><quartz>","1",""
"69969834","","4",""
"69969835","","1",""
"69969836","","0",""
"69969837","<node.js><nginx><amazon-cloudfront>","0",""
"69969838","","0",""
"69969839","","0",""
"69969840","","0",""
"69969841","","1",""
"69969842","","2",""
"69969844","","1",""
"69969845","<flutter><base64><state-management><flutter-getx><image-conversion>","-1",""
"69969848","","1",""
"69969849","","0",""
"69969851","<.net><vb.net>","0",""
"69969852","<r><shiny><rhandsontable>","0",""
"69969853","<html><reactjs><user-interface><rendering>","0",""
"69969854","<c#><.net-core>","-1","2021-11-15 06:00:41"
"69969855","<django><postgresql><vue.js><frontend><vuetify.js>","0",""
"69969856","<r><dependencies><tweedie>","0",""
"69969857","<node.js><postgresql>","0",""
"69969858","<mongodb><apache-spark><pyspark>","1",""
"69969859","","0",""
"69969860","","1",""
"69969864","","0",""
"69969865","","0",""
"69969866","<visual-studio-code>","0",""
"69969868","","0",""
"69969869","<javascript><react-native>","0",""
"69969871","<django><django-models><django-views><django-admin>","0",""
"69969872","","0",""
"69969873","<python><c++><python-3.8><python-bindings>","0",""
"69969875","","0",""
"69969876","","1",""
"69969877","<ubuntu><parsing><bison><yacc>","0",""
"69969879","","0",""
"69969881","<python><discord.py>","1",""
"69969882","<machine-learning><neural-network><conv-neural-network><artificial-intelligence><computer-science>","0",""
"69969884","","0",""
"69969885","<git><gitignore>","1",""
"69969886","","2",""
"69969887","<git>","1",""
"69969888","<sql><sql-server><tsql><hierarchy><chaining>","0",""
"69969890","<teamcity><teamcity-9.0><teamcity-8.0>","0",""
"69969891","","1",""
"69969892","","0",""
"69969894","","3",""
"69969896","","6",""
"69969897","<gpgpu><hlsl><compute-shader><directcompute>","0",""
"69969898","","0",""
"69969899","<docker><dockerfile>","0",""
"69969900","<binary><integer><numbers><save><extract>","0",""
"69969902","","0",""
"69969903","<powerbi><powerquery>","0",""
"69969904","<javascript><amazon-web-services><aws-api-gateway><aws-sdk>","0",""
"69969905","<mysql><node.js><sequelize.js><database-migration>","1",""
"69969906","","1",""
"69969907","<python><websocket><client-server>","0",""
"69969908","<dataframe><scala><apache-spark><transactions><atomic>","0",""
"69969909","","0",""
"69969910","","0",""
"69969911","","0",""
"69969912","<python><typeerror><word2vec><sklearn-pandas>","0",""
"69969913","<python-3.x>","0","2021-11-15 11:38:52"
"69969914","","0",""
"69969915","","1",""
"69969917","<python><theano><neupy>","0",""
"69969918","","0",""
"69969920","<java><io><set><nio>","0",""
"69969921","","0",""
"69969922","","0",""
"69969923","<python><tensorflow><jupyter-notebook><conda><tensorflow-hub>","0",""
"69970238","<javascript><reactjs><react-query>","1",""
"69970239","<r>","1",""
"69970240","<sql><database-design>","1",""
"69970242","","1",""
"69970244","","0",""
"69970245","<php><mysql><pdo>","0",""
"69970246","","0",""
"69970248","","0",""
"69970249","","0",""
"69970250","<windows><group-policy>","-1",""
"69970251","<reactjs><material-ui><react-router-dom>","1",""
"69970252","","0",""
"69970253","<swift><swiftui><visualization><voice-recognition><speech>","1",""
"69970254","","3",""
"69970255","","1",""
"69970256","<python><selenium><selenium-chromedriver><brave><brave-browser>","0",""
"69970257","","1",""
"69970258","<jquery>","1",""
"69970259","<sql><postgresql>","0",""
"69970260","","1",""
"69970263","","3",""
"69970264","<salesforce><salesforce-lightning><salesforce-communities><salesforce-marketing-cloud><salesforce-chatter>","0",""
"69970265","<c#><.net><winforms><propertygrid>","1",""
"69970266","","6",""
"69970267","<reactjs><action><dispatch>","0",""
"69970268","<c++><visual-studio><pointers><debugging><dangling-pointer>","0",""
"69970269","","0",""
