,"Tag, Score",Count
0,"Row(_1='dataframe', _2=5)",2
1,"Row(_1='julia', _2=5)",2
2,"Row(_1='jquery', _2=1)",64
3,"Row(_1='ajax', _2=1)",22
4,"Row(_1='asp.net-core-mvc', _2=1)",5
5,"Row(_1='asp.net-core-webapi', _2=1)",2
6,"Row(_1='javascript', _2=0)",1746
7,"Row(_1='timer', _2=0)",5
8,"Row(_1='jspsych', _2=0)",1
9,"Row(_1='None', _2=1)",7081
10,"Row(_1='python', _2=0)",2582
11,"Row(_1='python-3.x', _2=0)",361
12,"Row(_1='dictionary', _2=0)",83
13,"Row(_1='anagram', _2=0)",1
14,"Row(_1='c#', _2=0)",742
15,"Row(_1='visual-studio-2019', _2=0)",26
16,"Row(_1='None', _2=0)",13941
17,"Row(_1='node.js', _2=0)",540
18,"Row(_1='server', _2=0)",31
19,"Row(_1='microsoft-graph-api', _2=0)",23
20,"Row(_1='tkinter', _2=0)",71
21,"Row(_1='kubernetes', _2=0)",97
22,"Row(_1='kubectl', _2=0)",9
23,"Row(_1='macos', _2=0)",55
24,"Row(_1='shell', _2=0)",65
25,"Row(_1='command-line', _2=0)",14
26,"Row(_1='bioinformatics', _2=0)",5
27,"Row(_1='jquery', _2=0)",209
28,"Row(_1='spring', _2=0)",190
29,"Row(_1='java', _2=2)",54
30,"Row(_1='javascript', _2=1)",495
31,"Row(_1='html', _2=1)",172
32,"Row(_1='css', _2=1)",119
33,"Row(_1='opentok', _2=1)",1
34,"Row(_1='tokbox', _2=1)",1
35,"Row(_1='json', _2=0)",218
36,"Row(_1='apache-kafka', _2=0)",66
37,"Row(_1='ksqldb', _2=0)",2
38,"Row(_1='google-cloud-platform', _2=0)",76
39,"Row(_1='cloud', _2=0)",15
40,"Row(_1='google-cloud-networking', _2=0)",1
41,"Row(_1='java', _2=0)",1039
42,"Row(_1='selenium', _2=0)",102
43,"Row(_1='python', _2=3)",38
44,"Row(_1='visual-studio-code', _2=3)",5
45,"Row(_1='None', _2=2)",2409
46,"Row(_1='postman', _2=0)",21
47,"Row(_1='lumen', _2=0)",2
48,"Row(_1='django', _2=0)",297
49,"Row(_1='forms', _2=0)",57
50,"Row(_1='foreign-keys', _2=0)",6
51,"Row(_1='graph', _2=0)",30
52,"Row(_1='tree', _2=0)",7
53,"Row(_1='c++', _2=0)",383
54,"Row(_1='header', _2=0)",10
55,"Row(_1='overloading', _2=0)",8
56,"Row(_1='variable-assignment', _2=0)",4
57,"Row(_1='smtp', _2=0)",16
58,"Row(_1='gmail', _2=0)",8
59,"Row(_1='flask-mail', _2=0)",2
60,"Row(_1='rust', _2=0)",39
61,"Row(_1='rust-cargo', _2=0)",1
62,"Row(_1='java', _2=1)",214
63,"Row(_1='spring', _2=1)",30
64,"Row(_1='spring-boot', _2=1)",54
65,"Row(_1='weblogic', _2=1)",1
66,"Row(_1='quartz', _2=1)",1
67,"Row(_1='None', _2=4)",304
68,"Row(_1='nginx', _2=0)",80
69,"Row(_1='amazon-cloudfront', _2=0)",8
70,"Row(_1='flutter', _2=-1)",24
71,"Row(_1='base64', _2=-1)",1
72,"Row(_1='state-management', _2=-1)",1
73,"Row(_1='flutter-getx', _2=-1)",1
74,"Row(_1='image-conversion', _2=-1)",1
75,"Row(_1='.net', _2=0)",167
76,"Row(_1='vb.net', _2=0)",33
77,"Row(_1='r', _2=0)",488
78,"Row(_1='shiny', _2=0)",50
79,"Row(_1='rhandsontable', _2=0)",1
80,"Row(_1='html', _2=0)",628
81,"Row(_1='reactjs', _2=0)",881
82,"Row(_1='user-interface', _2=0)",28
83,"Row(_1='rendering', _2=0)",8
84,"Row(_1='c#', _2=-1)",66
85,"Row(_1='.net-core', _2=-1)",7
86,"Row(_1='postgresql', _2=0)",234
87,"Row(_1='vue.js', _2=0)",171
88,"Row(_1='frontend', _2=0)",27
89,"Row(_1='vuetify.js', _2=0)",10
90,"Row(_1='dependencies', _2=0)",10
91,"Row(_1='tweedie', _2=0)",1
92,"Row(_1='mongodb', _2=1)",31
93,"Row(_1='apache-spark', _2=1)",28
94,"Row(_1='pyspark', _2=1)",29
95,"Row(_1='visual-studio-code', _2=0)",125
96,"Row(_1='react-native', _2=0)",207
97,"Row(_1='django-models', _2=0)",54
98,"Row(_1='django-views', _2=0)",35
99,"Row(_1='django-admin', _2=0)",13
100,"Row(_1='python-3.8', _2=0)",11
101,"Row(_1='python-bindings', _2=0)",1
102,"Row(_1='ubuntu', _2=0)",62
103,"Row(_1='parsing', _2=0)",32
104,"Row(_1='bison', _2=0)",4
105,"Row(_1='yacc', _2=0)",7
106,"Row(_1='python', _2=1)",691
107,"Row(_1='discord.py', _2=1)",6
108,"Row(_1='machine-learning', _2=0)",50
109,"Row(_1='neural-network', _2=0)",17
110,"Row(_1='conv-neural-network', _2=0)",18
111,"Row(_1='artificial-intelligence', _2=0)",7
112,"Row(_1='computer-science', _2=0)",7
113,"Row(_1='git', _2=1)",36
114,"Row(_1='gitignore', _2=1)",3
115,"Row(_1='sql', _2=0)",414
116,"Row(_1='sql-server', _2=0)",174
117,"Row(_1='tsql', _2=0)",48
118,"Row(_1='hierarchy', _2=0)",2
119,"Row(_1='chaining', _2=0)",1
120,"Row(_1='teamcity', _2=0)",2
121,"Row(_1='teamcity-9.0', _2=0)",1
122,"Row(_1='teamcity-8.0', _2=0)",1
123,"Row(_1='None', _2=3)",809
124,"Row(_1='None', _2=6)",76
125,"Row(_1='gpgpu', _2=0)",1
126,"Row(_1='hlsl', _2=0)",2
127,"Row(_1='compute-shader', _2=0)",1
128,"Row(_1='directcompute', _2=0)",1
129,"Row(_1='docker', _2=0)",203
130,"Row(_1='dockerfile', _2=0)",14
131,"Row(_1='binary', _2=0)",15
132,"Row(_1='integer', _2=0)",10
133,"Row(_1='numbers', _2=0)",7
134,"Row(_1='save', _2=0)",6
135,"Row(_1='extract', _2=0)",3
136,"Row(_1='powerbi', _2=0)",59
137,"Row(_1='powerquery', _2=0)",17
138,"Row(_1='amazon-web-services', _2=0)",286
139,"Row(_1='aws-api-gateway', _2=0)",10
140,"Row(_1='aws-sdk', _2=0)",5
141,"Row(_1='mysql', _2=1)",58
142,"Row(_1='node.js', _2=1)",108
143,"Row(_1='sequelize.js', _2=1)",3
144,"Row(_1='database-migration', _2=1)",1
145,"Row(_1='websocket', _2=0)",32
146,"Row(_1='client-server', _2=0)",2
147,"Row(_1='dataframe', _2=0)",249
148,"Row(_1='scala', _2=0)",45
149,"Row(_1='apache-spark', _2=0)",82
150,"Row(_1='transactions', _2=0)",15
151,"Row(_1='atomic', _2=0)",4
152,"Row(_1='typeerror', _2=0)",10
153,"Row(_1='word2vec', _2=0)",3
154,"Row(_1='sklearn-pandas', _2=0)",3
155,"Row(_1='theano', _2=0)",1
156,"Row(_1='neupy', _2=0)",1
157,"Row(_1='io', _2=0)",6
158,"Row(_1='set', _2=0)",7
159,"Row(_1='nio', _2=0)",3
160,"Row(_1='tensorflow', _2=0)",79
161,"Row(_1='jupyter-notebook', _2=0)",39
162,"Row(_1='conda', _2=0)",9
163,"Row(_1='tensorflow-hub', _2=0)",1
164,"Row(_1='reactjs', _2=1)",270
165,"Row(_1='react-query', _2=1)",4
166,"Row(_1='r', _2=1)",211
167,"Row(_1='sql', _2=1)",113
168,"Row(_1='database-design', _2=1)",2
169,"Row(_1='php', _2=0)",472
170,"Row(_1='mysql', _2=0)",289
171,"Row(_1='pdo', _2=0)",8
172,"Row(_1='windows', _2=-1)",8
173,"Row(_1='group-policy', _2=-1)",1
174,"Row(_1='material-ui', _2=1)",31
175,"Row(_1='react-router-dom', _2=1)",17
176,"Row(_1='swift', _2=1)",46
177,"Row(_1='swiftui', _2=1)",15
178,"Row(_1='visualization', _2=1)",1
179,"Row(_1='voice-recognition', _2=1)",1
180,"Row(_1='speech', _2=1)",1
181,"Row(_1='selenium-chromedriver', _2=0)",20
182,"Row(_1='brave', _2=0)",1
183,"Row(_1='brave-browser', _2=0)",1
184,"Row(_1='salesforce', _2=0)",14
185,"Row(_1='salesforce-lightning', _2=0)",4
186,"Row(_1='salesforce-communities', _2=0)",1
187,"Row(_1='salesforce-marketing-cloud', _2=0)",1
188,"Row(_1='salesforce-chatter', _2=0)",2
189,"Row(_1='c#', _2=1)",168
190,"Row(_1='.net', _2=1)",31
191,"Row(_1='winforms', _2=1)",4
192,"Row(_1='propertygrid', _2=1)",1
193,"Row(_1='action', _2=0)",4
194,"Row(_1='dispatch', _2=0)",2
195,"Row(_1='visual-studio', _2=0)",87
196,"Row(_1='pointers', _2=0)",30
197,"Row(_1='debugging', _2=0)",35
198,"Row(_1='dangling-pointer', _2=0)",1
199,"Row(_1='angular', _2=2)",11
200,"Row(_1='angular-reactive-forms', _2=2)",2
201,"Row(_1='angular-forms', _2=2)",1
202,"Row(_1='formarray', _2=2)",1
203,"Row(_1='formgroups', _2=2)",1
204,"Row(_1='None', _2=7)",33
205,"Row(_1='apereo', _2=1)",1
206,"Row(_1='attributes', _2=0)",8
207,"Row(_1='robocopy', _2=0)",3
208,"Row(_1='script', _2=0)",23
209,"Row(_1='decimal', _2=0)",8
210,"Row(_1='let', _2=0)",1
211,"Row(_1='bigint', _2=0)",2
212,"Row(_1='layout', _2=1)",1
213,"Row(_1='plugins', _2=1)",5
214,"Row(_1='outline', _2=1)",1
215,"Row(_1='react-redux', _2=0)",38
216,"Row(_1='loopbackjs', _2=0)",1
217,"Row(_1='file-type', _2=0)",1
218,"Row(_1='android', _2=1)",124
219,"Row(_1='flutter', _2=1)",74
220,"Row(_1='dart', _2=1)",37
221,"Row(_1='flutter-dependencies', _2=1)",10
222,"Row(_1='php', _2=1)",111
223,"Row(_1='soap', _2=1)",1
224,"Row(_1='php-curl', _2=1)",1
225,"Row(_1='pyqt5', _2=1)",7
226,"Row(_1='qt-designer', _2=1)",2
227,"Row(_1='raspberry-pi4', _2=1)",5
228,"Row(_1='git', _2=0)",90
229,"Row(_1='jenkins', _2=0)",64
230,"Row(_1='build', _2=0)",14
231,"Row(_1='odm', _2=0)",1
232,"Row(_1='openssl', _2=0)",18
233,"Row(_1='prometheus', _2=1)",4
234,"Row(_1='grafana', _2=1)",1
235,"Row(_1='logstash-grok', _2=1)",1
236,"Row(_1='xml', _2=0)",79
237,"Row(_1='readxml', _2=0)",2
238,"Row(_1='writexml', _2=0)",2
239,"Row(_1='c', _2=0)",226
240,"Row(_1='output', _2=0)",12
241,"Row(_1='primes', _2=0)",2
242,"Row(_1='non-deterministic', _2=0)",1
243,"Row(_1='desktop', _2=1)",3
244,"Row(_1='python', _2=2)",171
245,"Row(_1='dictionary', _2=2)",6
246,"Row(_1='tensorflow', _2=1)",35
247,"Row(_1='machine-learning', _2=1)",15
248,"Row(_1='keras', _2=1)",22
249,"Row(_1='deep-learning', _2=1)",8
250,"Row(_1='osgi', _2=0)",2
251,"Row(_1='aem', _2=0)",3
252,"Row(_1='osgi-bundle', _2=0)",1
253,"Row(_1='dataweave', _2=0)",6
254,"Row(_1='mulesoft', _2=0)",8
255,"Row(_1='android', _2=0)",624
256,"Row(_1='google-play', _2=0)",7
257,"Row(_1='google-play-console', _2=0)",8
258,"Row(_1='ios', _2=1)",52
259,"Row(_1='react-native', _2=1)",63
260,"Row(_1='npm', _2=1)",20
261,"Row(_1='npm-publish', _2=1)",1
262,"Row(_1='javascript', _2=-2)",49
263,"Row(_1='jestjs', _2=0)",49
264,"Row(_1='view', _2=0)",10
265,"Row(_1='case', _2=0)",8
266,"Row(_1='feed', _2=0)",3
267,"Row(_1='salesforce-service-cloud', _2=0)",1
268,"Row(_1='security', _2=0)",26
269,"Row(_1='oauth', _2=0)",12
270,"Row(_1='jwt', _2=0)",29
271,"Row(_1='google-oauth', _2=0)",11
272,"Row(_1='django-authentication', _2=0)",2
273,"Row(_1='flutter', _2=0)",355
274,"Row(_1='dart', _2=0)",156
275,"Row(_1='flutter-layout', _2=0)",25
276,"Row(_1='asp.net', _2=0)",108
277,"Row(_1='sass', _2=0)",29
278,"Row(_1='node-sass', _2=0)",4
279,"Row(_1='maven', _2=0)",66
280,"Row(_1='pom.xml', _2=0)",6
281,"Row(_1='anypoint-studio', _2=0)",1
282,"Row(_1='connector', _2=0)",3
283,"Row(_1='python', _2=-1)",246
284,"Row(_1='selenium', _2=-1)",10
285,"Row(_1='alert', _2=-1)",1
286,"Row(_1='excel', _2=0)",268
287,"Row(_1='export', _2=0)",15
288,"Row(_1='export-to-excel', _2=0)",4
289,"Row(_1='permissions', _2=0)",11
290,"Row(_1='overlay', _2=0)",4
291,"Row(_1='mysql-8.0', _2=0)",2
292,"Row(_1='postgresql-11', _2=0)",1
293,"Row(_1='loops', _2=0)",84
294,"Row(_1='console-application', _2=0)",7
295,"Row(_1='kotlin', _2=0)",190
296,"Row(_1='android-jetpack-compose', _2=0)",27
297,"Row(_1='android-jetpack', _2=0)",4
298,"Row(_1='bottom-sheet', _2=0)",3
299,"Row(_1='android-studio', _2=0)",103
300,"Row(_1='firebase-realtime-database', _2=0)",40
301,"Row(_1='onclick', _2=0)",6
302,"Row(_1='typescript', _2=0)",297
303,"Row(_1='tslint', _2=0)",1
304,"Row(_1='disable', _2=0)",1
305,"Row(_1='flutter-getx', _2=0)",9
306,"Row(_1='asp.net-mvc', _2=-1)",5
307,"Row(_1='vue.js', _2=1)",61
308,"Row(_1='nuxt.js', _2=1)",12
309,"Row(_1='npm', _2=0)",81
310,"Row(_1='google-cloud-firestore', _2=0)",60
311,"Row(_1='html', _2=2)",33
312,"Row(_1='css', _2=2)",27
313,"Row(_1='forms', _2=2)",2
314,"Row(_1='rust', _2=-1)",2
315,"Row(_1='flask', _2=0)",96
316,"Row(_1='redis', _2=0)",39
317,"Row(_1='treeview', _2=1)",5
318,"Row(_1='django', _2=1)",77
319,"Row(_1='django-queryset', _2=1)",4
320,"Row(_1='django-annotate', _2=1)",2
321,"Row(_1='nuxt.js', _2=0)",28
322,"Row(_1='google-maps', _2=1)",5
323,"Row(_1='marker', _2=1)",1
324,"Row(_1='None', _2=5)",132
325,"Row(_1='selenium', _2=1)",40
326,"Row(_1='selenium-webdriver', _2=1)",16
327,"Row(_1='testing', _2=1)",7
328,"Row(_1='automation', _2=1)",5
329,"Row(_1='selenium-chromedriver', _2=1)",7
330,"Row(_1='spring-boot', _2=0)",265
331,"Row(_1='spring-kafka', _2=0)",10
332,"Row(_1='spring-cloud-stream-binder-kafka', _2=0)",3
333,"Row(_1='spring-boot-cloud-streams', _2=0)",3
334,"Row(_1='docker', _2=1)",42
335,"Row(_1='ajax', _2=-1)",10
336,"Row(_1='wordpress', _2=-1)",10
337,"Row(_1='typescript', _2=1)",104
338,"Row(_1='typescript-typings', _2=1)",4
339,"Row(_1='python', _2=32)",1
