,Tag,Count
0,dataframe,395
1,julia,25
2,jquery,310
3,ajax,109
4,asp.net-core-mvc,23
5,asp.net-core-webapi,21
6,javascript,2645
7,timer,7
8,jspsych,1
9,None,25436
10,python,3898
11,python-3.x,524
12,dictionary,122
13,anagram,1
14,c#,1092
15,visual-studio-2019,35
16,node.js,740
17,server,43
18,microsoft-graph-api,31
19,tkinter,91
20,kubernetes,161
21,kubectl,13
22,macos,85
23,shell,85
24,command-line,16
25,bioinformatics,8
26,spring,235
27,java,1454
28,html,970
29,css,646
30,opentok,3
31,tokbox,2
32,json,338
33,apache-kafka,74
34,ksqldb,2
35,google-cloud-platform,107
36,cloud,19
37,google-cloud-networking,1
38,selenium,160
39,visual-studio-code,180
40,postman,22
41,lumen,4
42,django,400
43,forms,72
44,foreign-keys,11
45,graph,47
46,tree,10
47,c++,609
48,header,17
49,overloading,13
50,variable-assignment,6
51,smtp,18
52,gmail,10
53,flask-mail,2
54,rust,84
55,rust-cargo,2
56,spring-boot,342
57,weblogic,2
58,quartz,2
59,nginx,96
60,amazon-cloudfront,10
61,flutter,490
62,base64,12
63,state-management,1
64,flutter-getx,12
65,image-conversion,1
66,.net,233
67,vb.net,45
68,r,818
69,shiny,77
70,rhandsontable,2
71,reactjs,1306
72,user-interface,46
73,rendering,9
74,.net-core,89
75,postgresql,311
76,vue.js,260
77,frontend,39
78,vuetify.js,17
79,dependencies,12
80,tweedie,1
81,mongodb,220
82,apache-spark,127
83,pyspark,123
84,react-native,303
85,django-models,68
86,django-views,42
87,django-admin,13
88,python-3.8,12
89,python-bindings,1
90,ubuntu,83
91,parsing,52
92,bison,5
93,yacc,7
94,discord.py,34
95,machine-learning,75
96,neural-network,20
97,conv-neural-network,26
98,artificial-intelligence,11
99,computer-science,11
100,git,155
101,gitignore,6
102,sql,641
103,sql-server,263
104,tsql,77
105,hierarchy,2
106,chaining,1
107,teamcity,2
108,teamcity-9.0,1
109,teamcity-8.0,1
110,gpgpu,1
111,hlsl,3
112,compute-shader,3
113,directcompute,1
114,docker,276
115,dockerfile,22
116,binary,18
117,integer,18
118,numbers,9
119,save,9
120,extract,9
121,powerbi,65
122,powerquery,17
123,amazon-web-services,374
124,aws-api-gateway,13
125,aws-sdk,5
126,mysql,397
127,sequelize.js,23
128,database-migration,4
129,websocket,43
130,client-server,2
131,scala,80
132,transactions,17
133,atomic,5
134,typeerror,11
135,word2vec,3
136,sklearn-pandas,4
137,theano,1
138,neupy,1
139,io,8
140,set,13
141,nio,3
142,tensorflow,131
